    1 -12140.00   .22
    2 -12130.00   .24
    3 -12120.00   .31
    4 -12110.00   .21
    5 -12100.00   .16
    6 -12090.00   .18
    7 -12080.00   .25
    8 -12070.00   .28
    9 -12060.00   .25
   10 -12050.00   .19
   11 -12040.00   .14
   12 -12030.00   .12
   13 -12020.00   .10
   14 -12010.00   .09
   15 -12000.00   .08
   16 -11990.00   .08
   17 -11980.00   .07
   18 -11970.00   .07
   19 -11960.00   .09
   20 -11950.00   .14
   21 -11940.00   .17
   22 -11930.00   .36
   23 -11920.00   .67
   24 -11910.00   .57
   25 -11900.00   .34
   26 -11890.00   .16
   27 -11880.00   .07
   28 -11870.00   .13
   29 -11860.00   .15
   30 -11850.00   .19
   31 -11840.00   .25
   32 -11830.00   .30
   33 -11820.00   .37
   34 -11810.00   .37
   35 -11800.00   .31
   36 -11790.00   .20
   37 -11780.00   .21
   38 -11770.00   .25
   39 -11760.00   .24
   40 -11750.00   .12
   41 -11740.00   .11
   42 -11730.00   .18
   43 -11720.00   .21
   44 -11710.00   .16
   45 -11700.00   .02
   46 -11690.00   .12
   47 -11680.00   .11
   48 -11670.00   .02
   49 -11660.00   .03
   50 -11650.00   .01
   51 -11640.00   .06
   52 -11630.00   .11
   53 -11620.00   .02
   54 -11610.00   .01
   55 -11600.00   .01
   56 -11590.00   .04
   57 -11580.00   .09
   58 -11570.00   .11
   59 -11560.00   .50
   60 -11550.00   .56
   61 -11540.00   .08
   62 -11530.00   .07
   63 -11520.00   .07
   64 -11510.00   .06
   65 -11500.00   .06
   66 -11490.00   .05
   67 -11480.00   .06
   68 -11470.00   .08
   69 -11460.00   .10
   70 -11450.00   .03
   71 -11440.00   .09
   72 -11430.00   .15
   73 -11420.00   .77
   74 -11410.00  2.63
   75 -11400.00  1.29
   76 -11390.00   .84
   77 -11380.00   .72
   78 -11370.00   .43
   79 -11360.00  1.00
   80 -11350.00  1.12
   81 -11340.00   .90
   82 -11330.00   .47
   83 -11320.00   .44
   84 -11310.00   .48
   85 -11300.00   .36
   86 -11290.00   .12
   87 -11280.00   .11
   88 -11270.00   .21
   89 -11260.00   .19
   90 -11250.00   .12
   91 -11240.00   .23
   92 -11230.00   .24
   93 -11220.00   .19
   94 -11210.00   .14
   95 -11200.00   .12
   96 -11190.00   .14
   97 -11180.00   .13
   98 -11170.00   .13
   99 -11160.00   .14
  100 -11150.00   .17
  101 -11140.00   .19
  102 -11130.00   .54
  103 -11120.00  1.15
  104 -11110.00   .60
